index,UFD,Starname,RA(J2016),Dec(J2016),R/R_h,RV,G,BP-RP,PSAT,[Fe/H],source,col14,col15,col16,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,Separation
145,BooI,â,209.42329,14.58663,4.18,98.70,19.83,1.02,0.65,-1.92,n,,,,1231035483568837120,209.42329328401956,0.3555371,14.586627956348451,0.29036537,-0.09951517321208282,0.49581522,1.591205,-0.2755523300823294,0.45499086,-1.5671644610830382,0.35490194,19.827902,20.234705,19.21635,220.69187418815733,0.80799675,110.03593303754982,7.4405694,163.16147110643516,7.8600593,0.01360269868569896
146,BooI,â,209.57916,14.50216,3.06,123.80,19.4,1.0,0.91,-2.43,n,,,,1230843309552514560,209.57916001105625,0.30159795,14.502159634737504,0.24543484,-0.1816588554174382,0.38192782,1.4376026,-0.13572845393022986,0.36710498,-1.4311810718391642,0.32156658,19.400517,19.842127,18.847076,327.14495219983183,1.0004243,157.96678575558659,10.874045,229.25956348793767,9.620559,0.0013155094815145716
147,BooI,â,209.59272,14.54056,2.99,106.50,18.87,1.02,0.92,-2.30,n,,,,1231031497839177856,209.5927205142097,0.19251053,14.540564524741088,0.18753232,0.18933007178213432,0.28422138,0.83676386,-0.24712534331201147,0.2539058,-0.7994390578250185,0.2646263,18.869602,19.303001,18.278366,533.4649988850625,1.1324685,259.54725339388233,8.805123,387.0900669136471,10.183466,0.01638732758602454
148,BooI,â,209.85213,15.04768,3.24,114.30,19.81,0.84,0.67,-2.17,n,,,,1231074516231323008,209.85212692984695,0.33323523,15.047680349816423,0.2656702,0.20515329082598413,0.41050807,1.5268384,-0.48206302267860957,0.43479848,-1.4487410901228006,0.35173815,19.810442,20.228182,19.3922,224.26945620195048,0.7838694,110.6991737615938,6.132761,138.76445555439585,8.114914,0.010747596123971736
149,BooI,â,210.05695,14.75375,1.36,98.20,19.97,1.02,0.98,-3.97,n,,,,1230874542554264704,210.05694584245907,0.39040092,14.753746013896354,0.29284805,0.8653083999018307,0.4844978,1.3345555,-0.5844121294444149,0.48114568,-1.199792070296463,0.35906747,19.971188,20.40179,19.377735,193.40694661812518,0.7460184,94.34101273474322,8.673737,140.6255580773907,7.1147766,0.02038158102278603
150,BooI,â,210.06789,14.94406,2.38,105.00,19.3,0.98,0.98,-2.56,n,,,,1230887118218565504,210.06788826438307,0.24607606,14.94406027065111,0.18294685,0.04213564103994602,0.29852784,0.99536633,-0.36264972325866374,0.32205874,-0.9269516472345621,0.23084757,19.303621,19.720352,18.735956,357.68319156845246,0.890455,176.71619361061425,6.0211735,253.9661241343449,7.02495,0.00611501721143658
151,BooI,â,210.11529,14.73794,1.38,114.10,20.05,0.95,0.98,-2.46,n,,,,1230874954871117824,210.11528520232287,0.38228524,14.737936875820598,0.30929574,-0.4897477356248889,0.5079838,1.1440138,-0.3406261252534587,0.47041827,-1.0921269746615474,0.37254143,20.047806,20.484053,19.532576,180.2288380049261,0.74077076,87.45731396012096,6.312822,121.93492052563158,7.0253525,0.020137014613060736
152,BooI,â,210.11893,14.12933,2.13,93.30,19.31,0.93,0.96,-2.80,n,,,,1230769470474643456,210.1189330909322,0.22787975,14.129331206588725,0.22240919,-0.45110251133823825,0.2825152,0.939706,-0.4339288567277636,0.293931,-0.8335185441182671,0.2877322,19.310022,19.683287,18.757957,355.5806708425336,0.9547031,182.85289395366127,12.1127205,248.8714302578808,9.9134245,0.011632178621342236
153,BooI,â,210.16386,14.66974,1.27,94.80,20.12,0.99,0.91,-3.98,n,,,,1230861142257868032,210.16386071343302,0.46625817,14.669739468646156,0.44062805,0.28606453299425383,0.59209263,0.814936,0.2792632520518545,0.5505362,-0.7655930095292608,0.5215453,20.128029,20.604904,19.611391,167.39213371514586,0.78758687,78.24471981596481,7.3739862,113.39701651127154,8.534157,0.0031356809939712847
154,BooI,â,210.35767,13.88567,4.14,107.60,19.83,0.75,0.19,-1.90,n,,,,1229998300506922496,210.35767171175382,0.3869939,13.885671143115923,0.29195145,0.02156002040161481,0.44071788,1.2838008,-0.3043266208589349,0.5370131,-1.2472088268375738,0.35511237,19.829592,20.05537,19.304817,220.34828120184378,0.8103875,129.79815018419868,12.755247,150.39418661392898,7.5535083,0.00726099746300783
