source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error
4008827954742013568,187.2018983480708,0.5971948,26.737227309153923,0.46442318,0.23170812262020613,0.6816397,0.9196054,-0.8840895830405051,0.70323837,-0.2531001582768975,0.5853648,19.452812,18.275774,16.968493,311.76103541438926,1.71177,668.5092110345199,16.177181,1293.484189597805,17.683556
4008835372149977728,187.44309848756566,0.4181526,26.839333567018954,0.30846164,0.7343893495217371,0.4467885,11.387909,-10.627943559850044,0.5277513,4.090388115710403,0.40585908,20.014818,21.05772,18.845304,185.78891221340763,0.8674277,51.56192313291082,6.850666,229.63427080557145,8.404886
4008837747267399552,186.7345911925594,0.053068735,26.359571521035686,0.07669278,0.4553582571609334,0.0813496,20.694971,-4.030471878465075,0.070370026,-20.29869666682222,0.09851886,16.755566,17.05335,16.300037,3738.6986095502693,2.4330313,2060.992421113707,17.243084,2394.1057380088832,11.687569
4008839873275825664,186.83138767689763,0.3643302,26.44060798841657,0.65665555,0.14272711480551986,0.5373232,9.420474,-8.820614493766048,0.480032,-3.307882718580098,0.78972423,19.722578,20.675121,18.734943,243.17302334592395,1.0181565,73.34464071963247,7.4489493,254.20321897516627,8.746254
4008840633485423104,186.69346956570442,0.026487771,26.44349623682936,0.041554928,2.4323995735508217,0.042540103,43.614613,36.506318311887306,0.034647122,-23.86468318040359,0.05053581,15.47687,16.317907,14.577376,12139.45115333258,4.680238,4057.4547029959467,15.342078,11700.591702137886,11.461575
4008844717999341952,186.64372759697096,0.27226624,26.50523225378339,0.2281323,0.20580637841532784,0.30933514,3.2931592,-0.9803274492328778,0.32244468,-3.1438600409732156,0.2821737,19.349737,19.783201,18.7808,342.8086713852035,1.0323567,166.77718200531845,6.935876,243.69018380086732,8.499659
4008845581287749248,186.6549667020008,0.024607003,26.570152768775397,0.038556464,4.818217780546973,0.039007794,54.1799,-54.05323578513005,0.032095563,3.7025969079432675,0.046637047,14.760888,15.68778,13.809026,23474.24457186193,9.163673,7249.447492536214,19.749838,23743.67842127596,22.149536
4008845718726703360,186.6766367047713,1.8786772,26.58823608184763,3.1986217,,,,,,,,19.672577,17.323921,15.927473,254.63378654897656,3.1228254,1606.3810279804502,33.66085,3374.1868620640203,22.366089
4008846298546913408,186.8585125716439,0.26251638,26.51621829447599,0.29179716,-0.25938050511099014,0.3343384,8.278499,-7.213576955884952,0.34210038,-4.061754344853701,0.37997317,19.348524,19.653658,18.978695,343.192000342082,1.1017967,187.91154337832276,8.1266165,203.08625239330942,8.708184
4008848226987219968,186.96325949547213,0.8782336,26.58578511865334,0.762191,-0.9315219233278583,1.1376354,23.1129,-11.097359739558817,0.97676134,-20.274484004281412,1.0400338,20.48526,20.923954,19.565924,120.4598755355726,1.0056344,58.32237552310806,6.935452,118.24671559819238,6.317051
4008848635008923904,186.98186407437308,0.21715735,26.60021782905445,0.22697398,0.1395881989282331,0.2679399,25.251049,-10.390625700274535,0.29396343,-23.01413477954537,0.29154637,18.939043,18.968409,17.93593,500.414166638055,1.4221195,353.2269236856047,10.911264,530.6227771682301,12.524432
4008850799672174208,186.79833204873856,0.043429904,26.585617811527744,0.06123692,1.6740198123859016,0.06956734,10.831043,-3.4989845825887333,0.051509704,-10.250297775579028,0.078161284,12.73987,13.015598,12.301195,151007.61414203027,48.287148,84952.75021465213,66.859055,95209.46391727494,33.53456
4008851869119872384,186.78604215133518,0.021997271,26.633174046009213,0.03151815,1.6316548145686012,0.03414194,22.025805,-21.83580755770451,0.029492358,2.8867927852514437,0.0398408,14.457889,14.913204,13.822362,31030.682244811494,10.667201,14795.69481279106,19.302374,23453.81293938543,17.157272
4008852247076995328,186.76504161433056,7.859179,26.667016013605497,26.193716,,,,,,,,21.29013,19.869743,18.27705,57.39773464289632,1.21731,153.99954488955038,7.2724056,387.559532456442,19.72903
4008852796832809600,186.85872722355958,0.2713381,26.66116917895512,0.25013965,4.5442029610465475,0.32237393,33.551346,-32.871095695282406,0.35167903,-6.721889653097819,0.33462906,12.613096,13.038433,11.935871,169710.36308555448,376.13388,83184.70557160131,63.885212,133293.77981879975,55.267365
4008854235646071296,186.8666631697544,4.293979,26.73764114562806,6.5964084,,,,,,,,20.982729,19.577543,18.303894,76.18243238044059,1.6183068,201.55773725518978,14.092336,378.0945757055643,28.941708
4008854476164252032,186.87531565975794,8.531436,26.754677943277656,5.5030775,,,,,,,,21.19827,20.562866,18.890324,62.465210789808545,1.8667275,81.33369637425174,12.912144,220.30730884210416,13.469574
4008855030214954368,186.51698443265326,10.948909,26.514104624300813,7.228252,,,,,,,,21.12656,18.97022,17.302317,66.73021909693674,2.0693312,352.637916585307,16.89793,951.1111090098447,13.329065
4008856198446060672,186.45958169416332,0.69454366,26.563088480810553,1.0920968,0.7356999270265746,1.0368317,16.145996,-15.45279278354499,1.1856631,4.680210708962654,1.464672,20.43054,,,126.68656064672864,1.3040913,,,,
4008856370245577984,186.5306736626316,0.049592163,26.56120345863416,0.045239527,1.0722959906713185,0.061190333,6.7443986,-6.736009492602396,0.060013987,-0.33628660956039663,0.058700882,16.582163,16.850876,15.731121,4386.129394382642,4.133675,2483.5132519477543,49.302696,4043.0561680948977,35.43908
4008856748202700672,186.50723388906536,0.23845021,26.59391991328384,0.21091002,0.12533055656119052,0.27340484,4.8019233,-1.3607942766946857,0.31217235,-4.605073892877874,0.2745874,19.273794,19.603323,18.912193,367.64509725800366,1.0262072,196.8283266530691,7.568119,215.91396739999593,7.816036
